06-20 12:11:13.372   525  1913 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity bnds=[439,958][640,1270]} from uid 10137
06-20 12:11:13.503   525   554 I ActivityManager: Start proc 3884:com.DefaultCompany.MopubTest/u0a154 for pre-top-activity {com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity}
06-20 12:11:17.632  3884  3997 D Unity   : Remaining time:8s
06-20 12:11:18.479   427  3876 I iorapd  : Perfetto TraceBuffer saved to file: /data/misc/iorapd/com.DefaultCompany.MopubTest/1/com.unity3d.player.UnityPlayerActivity/raw_traces/1624191078470214100.perfetto_trace.pb
06-20 12:11:18.676  3884  3997 D Unity   : Remaining time:7s
06-20 12:11:19.712  3884  3997 D Unity   : Remaining time:6s
06-20 12:11:20.747  3884  3997 D Unity   : Remaining time:5s
06-20 12:11:21.784  3884  3997 D Unity   : Remaining time:4s
06-20 12:11:22.821  3884  3997 D Unity   : Remaining time:3s
06-20 12:11:23.860  3884  3997 D Unity   : Remaining time:2s
06-20 12:11:24.896  3884  3997 D Unity   : Remaining time:1s
06-20 12:11:25.936  3884  3997 D Unity   : Remaining time:0s
06-20 12:11:26.613  3884  3997 D Unity   : Timed out. Continuing without host connection.
06-20 12:11:26.613  3884  3997 D Unity   : Started listening to [0.0.0.0:55057]
06-20 12:11:26.613  3884  3997 D Unity   : Starting managed debugger on port 56868
06-20 12:11:26.614  3884  3997 D Unity   : Using monoOptions --debugger-agent=transport=dt_socket,embedding=1,server=y,suspend=n,address=0.0.0.0:56868
06-20 12:11:27.697  3884  3997 D Unity   : [EGL] Attaching window :0xe6d49738
06-20 12:11:27.698  3884  3997 D Unity   : InitializeScriptEngine OK (0xbd8e2f00)
06-20 12:11:27.700  3884  3997 D Unity   : PlayerConnection already initialized - listening to [0.0.0.0:55057]
06-20 12:11:27.824  3884  3997 I chatty  : uid=10154(com.DefaultCompany.MopubTest) UnityMain identical 14 lines
06-20 12:11:27.914  3884  3997 D Unity   : Loading player data from assets/bin/Data/data.unity3d
06-20 12:11:27.981  3884  3997 D Unity   : Unable to lookup library path for 'com.mopub.mediation.unityads-3.7.2.0', native render plugin support disabled.
06-20 12:11:27.983  3884  3997 E Unity   : Unable to find com.mopub.mediation.unityads-3.7.2.0
06-20 12:11:27.986  3884  3997 D Unity   : PlayerInitEngineNoGraphics OK
06-20 12:11:27.986  3884  3997 D Unity   : AndroidGraphics::Startup window =  0xe6d49738
06-20 12:11:27.986  3884  3997 D Unity   : [EGL] Attaching window :0xe6d49738
06-20 12:11:27.996  3884  3997 D Unity   : [Subsystems] Discovering subsystems at path assets/bin/Data/UnitySubsystems
06-20 12:11:28.028  3884  3997 D Unity   : [Vulkan init] extensions: count=9
06-20 12:11:28.028  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_surface, enabled=1
06-20 12:11:28.028  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_android_surface, enabled=1
06-20 12:11:28.028  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_EXT_swapchain_colorspace, enabled=1
06-20 12:11:28.029  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_get_surface_capabilities2, enabled=0
06-20 12:11:28.029  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_EXT_debug_report, enabled=1
06-20 12:11:28.029  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_get_physical_device_properties2, enabled=0
06-20 12:11:28.030  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_semaphore_capabilities, enabled=0
06-20 12:11:28.030  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_memory_capabilities, enabled=0
06-20 12:11:28.030  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_fence_capabilities, enabled=0
06-20 12:11:28.040  3884  3997 D Unity   : [Vulkan init] SelectPhysicalDevice requestedDeviceIndex=-1 xrDevice=0x0
06-20 12:11:28.041  3884  3997 D Unity   : [Vulkan init] Physical Device 0xacbd3990 [0]: "NVIDIA GeForce GTX 1080" deviceType=3 vendorID=10de deviceID=1b80
06-20 12:11:28.041  3884  3997 D Unity   : Vulkan detection: 2
06-20 12:11:28.041  3884  3997 D Unity   : [Vulkan init] extensions: count=9
06-20 12:11:28.042  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_surface, enabled=1
06-20 12:11:28.042  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_android_surface, enabled=1
06-20 12:11:28.043  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_EXT_swapchain_colorspace, enabled=1
06-20 12:11:28.043  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_get_surface_capabilities2, enabled=0
06-20 12:11:28.043  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_EXT_debug_report, enabled=1
06-20 12:11:28.043  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_get_physical_device_properties2, enabled=0
06-20 12:11:28.043  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_semaphore_capabilities, enabled=0
06-20 12:11:28.043  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_memory_capabilities, enabled=0
06-20 12:11:28.043  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_fence_capabilities, enabled=0
06-20 12:11:28.054  3884  3997 D Unity   : [Vulkan init] SelectPhysicalDevice requestedDeviceIndex=-1 xrDevice=0x0
06-20 12:11:28.056  3884  3997 D Unity   : [Vulkan init] Physical Device 0xacbd3a10 [0]: "NVIDIA GeForce GTX 1080" deviceType=3 vendorID=10de deviceID=1b80
06-20 12:11:28.056  3884  3997 D Unity   : [Vulkan init] Selected physical device 0xacbd3a10
06-20 12:11:28.056  3884  3997 D Unity   : [Vulkan init] Graphics queue count=1
06-20 12:11:28.059  3884  3997 I chatty  : uid=10154(com.DefaultCompany.MopubTest) UnityMain identical 2 lines
06-20 12:11:28.060  3884  3997 D Unity   : [Vulkan init] extensions: count=18
06-20 12:11:28.061  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_incremental_present, enabled=0
06-20 12:11:28.061  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_GOOGLE_display_timing, enabled=0
06-20 12:11:28.061  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_maintenance1, enabled=1
06-20 12:11:28.061  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_maintenance2, enabled=1
06-20 12:11:28.061  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_maintenance3, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_get_memory_requirements2, enabled=1
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_dedicated_allocation, enabled=1
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_bind_memory2, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_sampler_ycbcr_conversion, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_shader_float16_int8, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_NV_shader_subgroup_partitioned, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_semaphore, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_memory, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_fence, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_swapchain, enabled=1
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_KHR_external_semaphore_fd, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_ANDROID_external_memory_android_hardware_buffer, enabled=0
06-20 12:11:28.063  3884  3997 D Unity   : [Vulkan init] extensions: name=VK_EXT_queue_family_foreign, enabled=0
06-20 12:11:28.064  3884  3997 I chatty  : uid=10154(com.DefaultCompany.MopubTest) UnityMain identical 4 lines
06-20 12:11:28.140  3884  3997 D Unity   : Vulkan API version 1.1.0 (1.1.0 supported by driver)
06-20 12:11:28.140  3884  3997 D Unity   : Vulkan vendor=[NVIDIA] id=[10de]
06-20 12:11:28.140  3884  3997 D Unity   : Vulkan renderer=[NVIDIA GeForce GTX 1080] id=[1b80]
06-20 12:11:28.140  3884  3997 D Unity   : Vulkan device type 3
06-20 12:11:28.140  3884  3997 D Unity   : Vulkan driverversion=[0x7486c000] uint=[1954988032]
06-20 12:11:28.144  3884  3997 D Unity   : [vulkan] ASTC HDR support: 0
06-20 12:11:28.210  3884  3997 D Unity   : Vulkan PSO: Cache data successfully loaded [size=86755,path=/storage/emulated/0/Android/data/com.DefaultCompany.MopubTest/cache/vulkan_pso_cache.bin]
06-20 12:11:28.226  3884  3997 D Unity   : [EGL] Attaching window :0x0
06-20 12:11:28.226  3884  3997 D Unity   : AndroidDisplayManagerVulkan::AttachWindow(0xe6d49738, 0)
06-20 12:11:28.229  3884  3997 D Unity   : InitializeOrResetSwapChain 1080x2340 hdr=0 samples=0
06-20 12:11:28.362  3884  3997 D Unity   : AndroidDisplayManagerVulkan::AttachWindow(0xe6d49738, 0)
06-20 12:11:28.362  3884  3997 D Unity   : Initialize engine version: 2019.4.28f1 (1381962e9d08)
06-20 12:11:28.663  3884  3997 D Unity   : Begin MonoManager ReloadAssembly
06-20 12:11:28.675  3884  3997 D Unity   : Script Patching: Patch files are not available, '/storage/emulated/0/Android/data/com.DefaultCompany.MopubTest/cache/ScriptOnly/2019.4.28f1/mono/patch.config' is missing.
06-20 12:11:30.343  3884  3997 D Unity   : - Completed reload, in  1.679 seconds
06-20 12:11:30.666  3884  3997 D Unity   : PlayerInitEngineGraphics OK
06-20 12:11:30.672  3884  3997 D Unity   : Found 18 native sensors
06-20 12:11:30.679  3884  3997 D Unity   : Sensor :        Accelerometer ( 1) ; 0.000248 / 0.01s ; Goldfish 3-axis Accelerometer / The Android Open Source Project 
06-20 12:11:30.681  3884  3997 D Unity   : Sensor :        Accelerometer ( 1) ; 0.000248 / 0.01s ; Goldfish 3-axis Accelerometer / The Android Open Source Project 
06-20 12:11:30.698  3884  3997 D Unity   : SetWindow 0 0xe6d49738
06-20 12:11:30.699  3884  3997 D Unity   : AndroidDisplayManagerVulkan::AttachWindow(0xe6d49738, 0)
06-20 12:11:30.701  3884  3997 D Unity   : InitializeOrResetSwapChain 1080x2340 hdr=0 samples=0
06-20 12:11:33.320  3884  3997 D Unity   : UnloadTime: 27.948300 ms
06-20 12:11:33.327  3884  3997 D Unity   : UUID: f0ea818657bf4964 => c0cf6c0a6b658d3105ff3efd5628fab4
06-20 12:11:34.746  3884  3997 D Unity   : Sensor :        Accelerometer ( 1) ; 0.000248 / 0.01s ; Goldfish 3-axis Accelerometer / The Android Open Source Project 
06-20 12:11:34.755  3884  3997 D Unity   : Choreographer available: Enabling VSYNC timing
06-20 12:11:41.751  3884  3997 I Unity   : [MoPub-Unity] [RequestInterstitialAd] Attempting to load ad
06-20 12:11:41.751  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:41.751  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:41.751  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:41.751  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:41.751  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:41.751  3884  3997 I Unity   : MoPub:RequestInterstitialAd (string,string,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:333)
06-20 12:11:41.751  3884  3997 I Unity   : SceneManager:<Start>b__14_2 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:46)
06-20 12:11:41.751  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:41.751  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:41.751  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTes
06-20 12:11:41.786  3884  3997 E Unity   : FATAL ERROR: MoPub SDK has not been successfully initialized.
06-20 12:11:41.786  3884  3997 E Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:41.786  3884  3997 E Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:41.786  3884  3997 E Unity   : UnityEngine.Logger:Log (UnityEngine.LogType,object)
06-20 12:11:41.786  3884  3997 E Unity   : UnityEngine.Debug:LogError (object)
06-20 12:11:41.786  3884  3997 E Unity   : MoPub:ValidateInit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1101)
06-20 12:11:41.786  3884  3997 E Unity   : MoPub/AdUnitManager:GetAdUnit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1146)
06-20 12:11:41.786  3884  3997 E Unity   : MoPub:RequestInterstitialAd (string,string,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:334)
06-20 12:11:41.786  3884  3997 E Unity   : SceneManager:<Start>b__14_2 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:46)
06-20 12:11:41.786  3884  3997 E Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:41.786  3884  3997 E Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:5
06-20 12:11:42.155  3884  3997 D Unity   : Uploading Crash Report
06-20 12:11:42.157  3884  3997 E Unity   : Exception: 0xDEADDEAD
06-20 12:11:42.157  3884  3997 E Unity   :   at MoPub.ValidateInit (System.String message) [0x0001f] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1102 
06-20 12:11:42.157  3884  3997 E Unity   :   at MoPub+AdUnitManager.GetAdUnit (System.String adUnitId) [0x00001] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1146 
06-20 12:11:42.157  3884  3997 E Unity   :   at MoPub.RequestInterstitialAd (System.String adUnitId, System.String keywords, System.String userDataKeywords) [0x00016] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:334 
06-20 12:11:42.157  3884  3997 E Unity   :   at SceneManager.<Start>b__14_2 () [0x00001] in E:\repo\MopubTest\Assets\Scripts\SceneManager.cs:46 
06-20 12:11:42.157  3884  3997 E Unity   :   at UnityEngine.Events.InvokableCall.Invoke () [0x00010] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166 
06-20 12:11:42.157  3884  3997 E Unity   :   at UnityEngine.Events.UnityEvent.Invoke () [0x00022] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58 
06-20 12:11:42.157  3884  3997 E Unity   :   at UnityEngine.UI.Button.Press () [0x00027] in E:\repo\MopubTest\Library\PackageCache\com.unity.ugui@1.0.0\Runtime\UI\Core\Button.cs:68 
06-20 12:11:42.157  3884  3997 E Unity   :   at UnityEngine.UI.Button.OnPointerClick (
06-20 12:11:42.790  3884  3997 I Unity   : [MoPub-Unity] [RequestRewardedVideo] Attempting to load ad
06-20 12:11:42.790  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:42.790  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:42.790  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:42.790  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:42.790  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:42.790  3884  3997 I Unity   : MoPub:RequestRewardedVideo (string,System.Collections.Generic.List`1<MoPub/LocalMediationSetting>,string,string,double,double,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:396)
06-20 12:11:42.790  3884  3997 I Unity   : SceneManager:<Start>b__14_3 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:51)
06-20 12:11:42.790  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:42.790  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/
06-20 12:11:42.795  3884  3997 E Unity   : FATAL ERROR: MoPub SDK has not been successfully initialized.
06-20 12:11:42.795  3884  3997 E Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:42.795  3884  3997 E Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:42.795  3884  3997 E Unity   : UnityEngine.Logger:Log (UnityEngine.LogType,object)
06-20 12:11:42.795  3884  3997 E Unity   : UnityEngine.Debug:LogError (object)
06-20 12:11:42.795  3884  3997 E Unity   : MoPub:ValidateInit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1101)
06-20 12:11:42.795  3884  3997 E Unity   : MoPub/AdUnitManager:GetAdUnit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1146)
06-20 12:11:42.795  3884  3997 E Unity   : MoPub:RequestRewardedVideo (string,System.Collections.Generic.List`1<MoPub/LocalMediationSetting>,string,string,double,double,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:397)
06-20 12:11:42.795  3884  3997 E Unity   : SceneManager:<Start>b__14_3 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:51)
06-20 12:11:42.795  3884  3997 E Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:42.795  3884  3997 E Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/b
06-20 12:11:42.841  3884  3997 D Unity   : Uploading Crash Report
06-20 12:11:42.843  3884  3997 E Unity   : Exception: 0xDEADDEAD
06-20 12:11:42.843  3884  3997 E Unity   :   at MoPub.ValidateInit (System.String message) [0x0001f] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1102 
06-20 12:11:42.843  3884  3997 E Unity   :   at MoPub+AdUnitManager.GetAdUnit (System.String adUnitId) [0x00001] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1146 
06-20 12:11:42.843  3884  3997 E Unity   :   at MoPub.RequestRewardedVideo (System.String adUnitId, System.Collections.Generic.List`1[T] mediationSettings, System.String keywords, System.String userDataKeywords, System.Double latitude, System.Double longitude, System.String customerId) [0x00016] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:397 
06-20 12:11:42.843  3884  3997 E Unity   :   at SceneManager.<Start>b__14_3 () [0x00001] in E:\repo\MopubTest\Assets\Scripts\SceneManager.cs:51 
06-20 12:11:42.843  3884  3997 E Unity   :   at UnityEngine.Events.InvokableCall.Invoke () [0x00010] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166 
06-20 12:11:42.843  3884  3997 E Unity   :   at UnityEngine.Events.UnityEvent.Invoke () [0x00022] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58 
06-20 12:11:42.843  3884  3997 E Unity   :   at UnityEngine.UI.Button.Press () [0x00027] in E:\
06-20 12:11:43.861  3884  3997 I Unity   : [MoPub-Unity] [ShowInterstitialAd] Attempting to show ad
06-20 12:11:43.861  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:43.861  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:43.861  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:43.861  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:43.861  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:43.861  3884  3997 I Unity   : MoPub:ShowInterstitialAd (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:345)
06-20 12:11:43.861  3884  3997 I Unity   : SceneManager:<Start>b__14_4 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:56)
06-20 12:11:43.861  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:43.861  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:43.861  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTest/Library/PackageCac
06-20 12:11:43.869  3884  3997 E Unity   : FATAL ERROR: MoPub SDK has not been successfully initialized.
06-20 12:11:43.869  3884  3997 E Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:43.869  3884  3997 E Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:43.869  3884  3997 E Unity   : UnityEngine.Logger:Log (UnityEngine.LogType,object)
06-20 12:11:43.869  3884  3997 E Unity   : UnityEngine.Debug:LogError (object)
06-20 12:11:43.869  3884  3997 E Unity   : MoPub:ValidateInit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1101)
06-20 12:11:43.869  3884  3997 E Unity   : MoPub/AdUnitManager:GetAdUnit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1146)
06-20 12:11:43.869  3884  3997 E Unity   : MoPub:ShowInterstitialAd (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:346)
06-20 12:11:43.869  3884  3997 E Unity   : SceneManager:<Start>b__14_4 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:56)
